Reference,Property Type,Ad Type,Bedrooms,Bathrooms,Area (sqft),Details,Service Type,Address,Price (AED),DLD Permit Number,Agent ID
AQ-S-23-00310,Villa,VERIFIED,3,4,5695,Large Plot | Legacy | Vacant in July 23,PREMIUM,"Legacy, Jumeirah Park, Dubai",5749999,6513522700.0,1da22b41-0a51-49a6-b3b9-ffa24026b07e
JVCS-ROBIN-LUMA22-1BR-KH-1,Apartment,UNVERIFIED,1,2,789,30% Down Payment+ 4% DLD | High Floor | Call Now,PREMIUM,"Luma 22, Jumeirah Village Circle, Dubai",949438,,f6d77d18-c936-40e6-ae7e-4ee9f859fb8a
JVCS-ROBIN-EMPIRE-1BR-KH,Apartment,UNVERIFIED,1,2,769,Near Handover | Payment Plan | Low Floor,PREMIUM,"Empire Residence, Jumeirah Village Circle, Dubai",808500,,f6d77d18-c936-40e6-ae7e-4ee9f859fb8a
JVCS-ROBIN-UPSIDE-1BR-KH,Apartment,UNVERIFIED,1,1,651,Furnished | High Floor | Exquisite Living,PREMIUM,"SRG Upside, Business Bay, Dubai",1622888,2145627990.0,f6d77d18-c936-40e6-ae7e-4ee9f859fb8a
5pillars-4773803,Apartment,VERIFIED,Studio,1,416,Fully Furnished | Direct Access to JBR Walk,PREMIUM,"Sadaf 6, Sadaf, Jumeirah Beach Residence, Dubai",1000000,71194751957.0,6fcade28-7484-4509-98bf-09319ce43a1c
DOW230605,Apartment,VERIFIED,2,2,1116,Brand New | Canal and Burj View | Balcony | Ready,PREMIUM,"15 Northside, Business Bay, Dubai",2770000,71331820829.0,272f41ec-506b-464c-a78e-f582645e3c27
WIL-S-6379,Villa,VERIFIED,3,4,3102,VACANT | 3 BEDROOM | E1 | CALL TO VIEW,PREMIUM,"Sidra Villas II, Sidra Villas, Dubai Hills Estate, Dubai",5720000,6543956994.0,5aec51fb-96d7-4f7f-abd0-f31250726b4b
L-179327,Townhouse,VERIFIED,3,4,2398,Single Row | 3 Bedroom + Maid | Type A,PREMIUM,"Arabella Townhouses 1, Arabella Townhouses, Mudon, Dubai",3300000,65277292203.0,8333822b-5abf-4f10-8e19-6918759fee84
JACAR3-S-50499,Townhouse,VERIFIED,4,4,2445,Single Row | Landscaped | Private,PREMIUM,"Sun, Arabian Ranches 3, Dubai",3150000,69248798990.0,c1ed3886-5cf5-4c22-8370-765f782e4097
L-148484,Apartment,VERIFIED,2,2,986,Modern | 2 Bedroom | High Floor,PREMIUM,"Park Ridge Tower C, Park Ridge, Dubai Hills Estate, Dubai",2050000,71135879675.0,62639850-5fba-43e5-aa9d-90891a7807eb
SUP150038,Villa,VERIFIED,4,5,3578,Vacant on Transfer | Extended | Fully Upgraded,PREMIUM,"Meadows 1, Meadows, Dubai",9700000,6587862000.0,c373d153-1338-4de6-87c5-202ae09750eb
DOW230660,Villa,VERIFIED,5,6,10303,Corner Plot | Type A | VOT | Multiple Options,PREMIUM,"Millennium Estates, Meydan Gated Community, Meydan, Dubai",12995000,6512092570.0,8e346cda-320b-4614-af82-4e5685af03d7
insight-3589423,Apartment,VERIFIED,3,5,2710,FULL LAKE VIEW|3 BED +MAID|LARGE TERRACE,PREMIUM,"Cluster A, Jumeirah Heights, Dubai",3200000,7152940750.0,741bf4ed-8ec7-4dc6-b5a2-ebbe1b14ab7f
RBAR2-S-50757,Villa,VERIFIED,5,6,7110,"PLOT 7,110 I Single Row & Corner I 5BR Vacant",PREMIUM,"Palma, Arabian Ranches 2, Dubai",5500000,6510544280.0,58193d73-f050-4e9b-ab58-e31f768fcb6f
PF-VS-84357,Villa,VERIFIED,2,3,2828,The Only Freehold Villa Project | Gated Community,PREMIUM,"Mushraif, Mushrif Village, Mirdif, Dubai",2799999,69439842357.0,9171af31-d425-4c5c-bf4b-dbc11a6cbab5
HRA-S-1359,Apartment,VERIFIED,1,2,1037,1 Bedroom | Creek View | Big Balcony | D1 Tower,PREMIUM,"D1 Tower, Culture Village, Dubai",1650000,7117527545.0,f6b9e70d-5573-42f0-8951-36b969517fee
ES-1003643,Villa,VERIFIED,3,2,2600,Exclusive Fully Renovated Private Pool,PREMIUM,"Springs 10, The Springs, Dubai",4300000,6914264500.0,b74a5904-bc31-4305-be1d-35c84b33f390
ush-4875386,Apartment,VERIFIED,1,2,761,Genuine Resale | Sea & Pool Views | Vacant,PREMIUM,"Bahar 6, Bahar, Jumeirah Beach Residence, Dubai",1500000,7115834800.0,5377b367-75a6-4ac2-8f84-21702c10de39
TREO-S-20073,Villa,VERIFIED,5,5,3383,Exclusive | Large Corner Plot | Type 6,PREMIUM,"Casa, Arabian Ranches 2, Dubai",5300000,6589864450.0,e37b8262-b9ac-401c-a7af-ef84d7a7adf9
RP 016A,Apartment,VERIFIED,Studio,1,417,Furnished | Spacious Balcony | Pool View,PREMIUM,"Montrell, Al Furjan, Dubai",499000,7131783527.0,f1dd52e0-e7b9-4da3-be4a-61d02ef9ac68
PS-042808,Villa,VERIFIED,3,5,5422,Great Condition l 3 BR Legacy Large l VOT,PREMIUM,"Legacy, Jumeirah Park, Dubai",5100000,6513297100.0,35cac363-fe36-4249-ab77-bcddfc8d33f0
PS-042809,Penthouse,VERIFIED,4,5,6297,Exclusive Penthouse | Fendi Interiors Furnished,PREMIUM,"Le Reve, Dubai Marina, Dubai",Ask,7116363200.0,35cac363-fe36-4249-ab77-bcddfc8d33f0
PKS-1651,Apartment,VERIFIED,1,1,818,Fully Furnished | VOT | Brand New | Must See,PREMIUM,"Rahaal, Madinat Jumeirah Living, Umm Suqeim, Dubai",2100000,71225115640.0,04fdd4b9-8191-409a-8f78-973741ffb06f
Hayyan-6br-23/3/23,Villa,UNVERIFIED,6,8,"6,900",Premium 6BR G+2 Villa | Waterfront | DP Only 5%,PREMIUM,"Hayyan, Sharjah",Ask,,da07f70a-f589-41a4-a65b-8e865c8593b4
hayyan-6br-4/6/23,Villa,UNVERIFIED,6,8,"6,700",PRIME LOCATION - 6BR G+2 Villa - Waterfront |DP 5%,PREMIUM,"Hayyan, Sharjah",Ask,,da07f70a-f589-41a4-a65b-8e865c8593b4
MASAAR-3BR-4/6/23,Villa,UNVERIFIED,3,5,"2,500","Corner 3BR with Big Plot -Great Design- DP 125,000",PREMIUM,"Sequoia, Masaar, Tilal City, Sharjah",Ask,,da07f70a-f589-41a4-a65b-8e865c8593b4
ROVE-1BR-4/6/23,Apartment,UNVERIFIED,1,2,827,BEST INVESTMENT ROVE BY EMAAR - ALJADA | DP 53.000,PREMIUM,"Rove Home Aljada, Aljada, Sharjah",Ask,,da07f70a-f589-41a4-a65b-8e865c8593b4
CB-S-004547,Apartment,VERIFIED,1,1,683,SPACIOUS 1 BEDROOM | HIGH FLOOR| Brand New,PREMIUM,"Harbour Gate Tower 1, Harbour Gate, Dubai Creek Harbour (The Lagoons), Dubai",1700000,7140483635.0,5b019632-a9c2-4526-af70-f0798104edf5
MB-S-2548,Apartment,VERIFIED,3,4,2333,No Columns 3BR+M+S | 1Lift Access | DIFC View,PREMIUM,"Burj Khalifa, Burj Khalifa Area, Downtown Dubai, Dubai",6949900,7122308300.0,2b741f8b-4e6a-485a-aa39-69e0b8129fc8
JVCS-FR-LRA-1BR,Apartment,VERIFIED,1,2,726,Amazing Deal | Fully Furnished| Vacant on Transfer,PREMIUM,"La Riviera Apartments, Jumeirah Village Circle, Dubai",975000,,da7232ca-fe97-4ca7-a3c8-6b392f0157b1
yasproperties-4990904,Apartment,UNVERIFIED,1,1,935,Full Ocean and Wynn Resort View | Infinity Pool,PREMIUM,"Danah Bay, Al Marjan Island, Ras Al Khaimah",2806000,,f8f8440f-a76a-4b11-a11f-1698b6a5f983
SPI-S-198568,Apartment,VERIFIED,1,2,793,Rented | Marina Skyline View | Mid floor,PREMIUM,"The Imperial Residence B, The Imperial Residence, Jumeirah Village Triangle, Dubai",650000,7114434992.0,a7ff4b6f-e7bd-46a4-bc2e-26a5784a1521
MASAAR-2BR-14/5/23,Townhouse,UNVERIFIED,2,4,"1,960","2BR TH -Premium Design and Finishing-DP 82,000 AED",PREMIUM,"Sequoia, Masaar, Tilal City, Sharjah",Ask,,da07f70a-f589-41a4-a65b-8e865c8593b4
Masaar-4br TH-18/5/23,Townhouse,UNVERIFIED,4,5,"3,160",Chance in Masaar - 4BR TH Corner -Big Plot - 5% DP,PREMIUM,"Sequoia, Masaar, Tilal City, Sharjah",Ask,,da07f70a-f589-41a4-a65b-8e865c8593b4
SUSTAINABLE-5BR-15/5/23,Villa,UNVERIFIED,5,6,"4,508",Premium Design 5BR Corner - Ready Soon-10% DP ONLY,PREMIUM,"Sharjah Sustainable City, Sharjah",Ask,,da07f70a-f589-41a4-a65b-8e865c8593b4
SUSTAINABLE-4BR-13/5/23,Villa,UNVERIFIED,4,5,"3,500",4BR Corner-Ready to Move -Luxury Finishings,PREMIUM,"Sharjah Sustainable City, Sharjah",Ask,,da07f70a-f589-41a4-a65b-8e865c8593b4
L-211528,Villa,VERIFIED,4,4,2665,Motivated Seller | Close to Park | Vacant,PREMIUM,"Joy, Arabian Ranches 3, Dubai",2950000,69250318273.0,eec0cc54-0c39-4ddd-97d1-f837da76d09f
eminence-5042071,Apartment,VERIFIED,2,2,1085,Luxurious Waterfront Property| Corner Unit,PREMIUM,"Seagate, Mina Rashid, Dubai",2400000,71256491103.0,083fc48c-b635-4677-946b-058bc78f1674
ES-1003624,Villa,VERIFIED,4,4,5300,4 Bedrooms | Garden Hall Villa| Lake View,PREMIUM,"Garden Hall, Mediterranean Clusters, Jumeirah Islands, Dubai",15000000,6587384000.0,5099d7c1-7551-42b9-8e20-c5ba0fe12c0e
L-208726,Townhouse,VERIFIED,3,4,2444,Exclusive | Vacant On Transfer | 3 Beds,PREMIUM,"Gallery Villas, Victory Heights, Dubai Sports City, Dubai",2600000,6510000100.0,e2babd44-472c-44ac-b585-28b863a7c897
RL1931,Villa,VERIFIED,6,6,5000,Upgraded | Massive Plot | Spacious Rooms,PREMIUM,"Meadows 8, Meadows, Dubai",13500000,6596910000.0,88cc6586-7369-4402-b522-864e0c86e98b
RL2224,Villa,VERIFIED,5,5,4038,Pool & Park|Well Maintain|Payment Plan Ongoing,PREMIUM,"Samara, Arabian Ranches 2, Dubai",5500000,6513129671.0,e6a29fc2-fc22-4a0c-896d-0c161d4f60a5
nshcollc-4897167,Apartment,UNVERIFIED,1,2,610,Exclusiv/1BR/save170k /First Owner/ No commission,PREMIUM,"Al Zahia 4, Al Zahia, Muwaileh Commercial, Sharjah",669000,,ba29bba3-085a-4a74-bd74-8d75e9109f49
Zahia33333,Apartment,UNVERIFIED,1,2,820,first gated community in Northern Emirates ROI 18%,PREMIUM,"Al Zahia 4, Al Zahia, Muwaileh Commercial, Sharjah",790000,,ba29bba3-085a-4a74-bd74-8d75e9109f49
BL-S-226.,Villa,VERIFIED,5,6,6630,Chorisia 2 | Real Listing | Amazing Location,PREMIUM,"Chorisia 2 Villas, Al Barari, Dubai",10000000,69444974964.0,d8832ba0-bd4b-42a5-9da8-e6ed095bf486
VIX53.P,Villa,UNVERIFIED,3,5,"2,056",3BR CORNER VILLA PRIME LOCATION|SMART|DP 5%,PREMIUM,"Sequoia, Masaar, Tilal City, Sharjah",Ask,,1e603733-bb42-44b0-a2a6-bc1834711964
L-208678,Penthouse,VERIFIED,4,5,2434,4 Bedroom | Penthouse | Brand New | Balcony,PREMIUM,"Harbour Gate Tower 1, Harbour Gate, Dubai Creek Harbour (The Lagoons), Dubai",5750000,7140486455.0,237ac6fe-c632-4efa-a512-3db5dc56d0ce
nshcollc-4958109,Apartment,UNVERIFIED,Studio,1,450,first gated community in Northern Emirates ROI 9%,PREMIUM,"Al Zahia 4, Al Zahia, Muwaileh Commercial, Sharjah",440000,,ba29bba3-085a-4a74-bd74-8d75e9109f49
VIX68.P,Villa,UNVERIFIED,4,7,"5,600",LAGOON VIEW 4BR SMART VILLA+POOL|BIG PLOT|6YRS P.P,PREMIUM,"Barashi, Al Badie, Sharjah",Ask,,1e603733-bb42-44b0-a2a6-bc1834711964
VIX57.P,Villa,UNVERIFIED,3,5,"2,056",NEAREST TO DUBAI 3BR SMART VILLA|EASY PAYMENT|5%DP,PREMIUM,"Barashi, Al Badie, Sharjah",Ask,,1e603733-bb42-44b0-a2a6-bc1834711964
nshcollc-5039613,Apartment,UNVERIFIED,2,2,"1,200",2BR|POOL VIEW / No commission| /Free hold,PREMIUM,"Al Zahia 4, Al Zahia, Muwaileh Commercial, Sharjah",1199000,,ba29bba3-085a-4a74-bd74-8d75e9109f49
RL799,Villa,VERIFIED,4,4,2273,Community View | Waterfront Living | Luxury,PREMIUM,"Malta, Damac Lagoons, Dubai",2250000,65418083321.0,fb97c5f2-8810-4365-9e73-07901e58b1d6
cereb-4972944,Apartment,UNVERIFIED,1,2,750,1BED APARTMENT-BESIDE CITY CENTER ZAHIA-10% DP,PREMIUM,"Uptown Al Zahia, Sharjah",Ask,,cfbe2135-87c5-489a-a07e-ec65c3e939c1
altitude-5014857,Townhouse,VERIFIED,4,6,3646,Brand new Fully Furnished | Motivated Seller | VOT,PREMIUM,"Grand Views, Meydan Gated Community, Meydan, Dubai",4749999,6929622178.0,b3d0c803-590b-4bc1-8505-3b712050a8d3
VIX75.P,Apartment,UNVERIFIED,2,3,"1,117",BEST CHOICE|LAST UNIT 2BHK 1% MONTHLY|8YEARS|5% DP,PREMIUM,"Al Mamsha, Muwaileh, Sharjah",Ask,,1e603733-bb42-44b0-a2a6-bc1834711964
VIZ36.P,Villa,UNVERIFIED,3,4,"2,056",IN GREEN COMPLEX VILLA 3BR|DP5%|MONTHLY 1%|NO BANK,PREMIUM,"Hayyan, Sharjah",Ask,,1e603733-bb42-44b0-a2a6-bc1834711964
VIZ46.P,Apartment,UNVERIFIED,2,3,"1,055",2BHK IN CITY WALLK SHJ|ICONIC VIEW NEAR MADAR|5%DP,PREMIUM,"Nasaq, Aljada, Sharjah",Ask,,1e603733-bb42-44b0-a2a6-bc1834711964
HHRE-S-8740,Villa,VERIFIED,3,3,2456,Extended 3M | Lovely Garden | Vacant in July,PREMIUM,"Al Reem 1, Al Reem, Arabian Ranches, Dubai",3050000,6914778600.0,568eff3e-3ac9-4e64-8430-9619cd13abc8
PB-S-1817,Townhouse,VERIFIED,4,5,2483,"Single Row, Close to Boulevard-Entrance-Clubhouse",PREMIUM,"Ruba, Arabian Ranches 3, Dubai",3190000,69286661974.0,d3c07c3e-7c15-4ae3-bb5b-db9d34c0b582
PS-052305,Apartment,VERIFIED,2,3,1137,2 BR + Study | Vacant on Transfer | Best Layout,PREMIUM,"Armada Tower 3, Lake Elucio, Jumeirah Lake Towers, Dubai",1450000,7123319900.0,c6804315-cc6e-4e52-bcf0-793eea002b44
BB2023-HK-AURA-3BRT,Townhouse,VERIFIED,3,4,2175,Genuine Resale| 3BR Townhouse |Pool|Prime Location,PREMIUM,"Aura, Tilal Al Ghaf, Dubai",2800000,1779382687.0,fb346a79-0cd0-4026-b980-e7efa9de8703
ES-1003662,Villa,VERIFIED,4,3,3324,Opposite Park & Pool | Savannah Type 7,PREMIUM,"Savannah 1, Savannah, Arabian Ranches, Dubai",7250000,6510116000.0,e77bfbd9-1d56-4afd-b0dd-3ff752004d27
L-208191,Apartment,VERIFIED,2,2,940,2 Bedroom| High Floor |Balcony | Vacant,PREMIUM,"Jenna Main Square 1, Jenna Main Square, Town Square, Dubai",940000,7126231688.0,a3a14798-b3c5-4c3f-9693-d591ef21e725
ush-4955289,Townhouse,VERIFIED,4,4,2244,Brand New | Near to pool | Good Location,PREMIUM,"Sun, Arabian Ranches 3, Dubai",3100000,69248765054.0,455c9f57-2bac-4cc2-a33a-37703e5dfdbb
BHM-S-567772,Apartment,VERIFIED,1,2,1168,Vacant On Transfer | High ROI | Spacious,PREMIUM,"Tajer Residences, The Old Town Island, Old Town, Dubai",2295000,7119103600.0,0ce9601b-0797-4243-a2ef-06436913b1a5
PAL230045,Apartment,VERIFIED,2,3,1778,VACANT | Hight Floor C Type | Key with Me,PREMIUM,"Marina Residences 4, Marina Residences, Palm Jumeirah, Dubai",2750000,7124937900.0,23992b54-0394-4d44-a2e4-ae8aa17fc6bd
pbp-4087706,Apartment,VERIFIED,1,2,816,GOLDEN VISA INCLUDED | CLOSE TO MALL | HIGH ROI,PREMIUM,"Dunya Tower, Burj Khalifa Area, Downtown Dubai, Dubai",1400000,71354767778.0,2e8b6290-66f6-483a-9c52-d6e77faba713
VS-S-2536,Villa,VERIFIED,4,5,4031,EXCLUSIVE HARMONY II I CLOSE TO PARK I 4 BEDS,PREMIUM,"Harmony, Tilal Al Ghaf, Dubai",5900000,65352976559.0,c2e1d785-88c9-424c-b61e-44ba525602b5
PS-050329,Apartment,VERIFIED,1,1,492,High End Finishing | Brand New | Tenanted,PREMIUM,"Sobha Creek Vistas Tower A, Sobha Hartland, Mohammed Bin Rashid City, Dubai",960000,71177052733.0,789a66cc-78aa-4ea4-b475-ce58602bb684
JVCS-ROBIN-UPSIDE-STD-SFR,Apartment,UNVERIFIED,Studio,1,395,Pay 25% & move in | Near Handover |Fully Furnished,PREMIUM,"SRG Upside, Business Bay, Dubai",1016888,2145627990.0,d472a875-3941-40ce-a82e-29442d7c09bf
BLP-S-1641,Apartment,VERIFIED,Studio,1,476,Rented | Fully Furnished | Well Maintained,PREMIUM,"Sparkle Tower 2, Sparkle Towers, Dubai Marina, Dubai",1350000,7118042114.0,603febfd-f6d8-44a6-b78e-437906f559e1
EMI230015,Villa,VERIFIED,2,2,1794,Upgraded and Extended | 4E | Peaceful Location,PREMIUM,"Springs 12, The Springs, Dubai",3000000,6914400900.0,3c73e4f2-7c72-4239-99b6-63a1d16eee07
achiever-4898023,Apartment,VERIFIED,1,2,926,Largest 1Bed | High floor | 12/13 series,PREMIUM,"The Address Downtown Hotel, Downtown Dubai, Dubai",2700000,7123812500.0,52e94f3f-c8e3-42d3-866d-d74586b960e5
arabvision-4944822,Apartment,VERIFIED,2,2,1119,Best Views Sea & Ain | Best Deal | 03 SRS,PREMIUM,"5242 Tower 1, 5242, Dubai Marina, Dubai",Ask,7129930788.0,b4fe4476-f247-466e-8170-7f341c984202
yasproperties-5050012,Apartment,UNVERIFIED,2,2,"1,600",Quality Unmatched | Near To Wynn Resort,PREMIUM,"Danah Bay, Al Marjan Island, Ras Al Khaimah",4200000,,2fc6feb3-8811-43cc-8746-79c7858561fd
yasproperties-5040088,Townhouse,UNVERIFIED,3,4,"3,465",Ultimate Resort Lifestyle | Direct Pool,PREMIUM,"Granada, Mina Al Arab, Ras Al Khaimah",1900000,,2fc6feb3-8811-43cc-8746-79c7858561fd
yasproperties-4899479,Villa,UNVERIFIED,4,5,"3,703",Prime Location | Beachfront | 12 Years Visa,PREMIUM,"Beach Homes, Falcon Island, Al Hamra Village, Ras Al Khaimah",Ask,,2fc6feb3-8811-43cc-8746-79c7858561fd
yasproperties-4899098,Villa,UNVERIFIED,4,5,"3,703",Ultimate Luxury | Beachfront | No Commission,PREMIUM,"Beach Homes, Falcon Island, Al Hamra Village, Ras Al Khaimah",7000000,,2fc6feb3-8811-43cc-8746-79c7858561fd
PNB-S-3208,Villa,VERIFIED,4,5,3300,Upgraded | Landscaped with Pergola | Huge Plot,PREMIUM,"The Field, DAMAC Hills, Dubai",4200000,6510596034.0,8d2811e6-bb8d-4797-8051-89531a4bb781
PF-May-Twenty-Six-VS-87641,Townhouse,UNVERIFIED,4,4,"2,893",4 Bed Townhouse| Bigger Plot Size|Prime Location,PREMIUM,"La Rosa, Villanova, Dubai Land, Dubai",2200000,69376925686.0,ef939601-4e0b-4182-a235-f83219aebbec
BV-LG-30,Hotel & Hotel Apartment,VERIFIED,1,1,369,Investor Deal |Below Original Price| Ready Unit,PREMIUM,"Park Lane Tower, Business Bay, Dubai",795000,7117424607.0,de4994d4-2ed5-4fb4-b39e-51b310be53c3
TREO-S-19889,Townhouse,VERIFIED,4,3,2400,"Perfect, Single row Vacant on Transfer",PREMIUM,"Noor Townhouses, Town Square, Dubai",2500000,6941196729.0,348d1871-65eb-4871-a6eb-494c7e82e063
ESL-10697,Villa,VERIFIED,3,3,2455,Vacant Soon | Lake View | Close to Pool,PREMIUM,"Springs 14, The Springs, Dubai",3750000,6914300300.0,a91db9d6-6ffb-4b6b-bd0d-5224b886199b
PS-051803,Apartment,VERIFIED,3,5,2033,New to Market | Vacant | Sea Views,PREMIUM,"Apartment Building 3, Bluewaters Residences, Bluewaters, Dubai",14000000,7148948868.0,77792d3e-61d6-48cd-8332-60b5507a431b
PS-050110,Apartment,VERIFIED,3,4,2096,Skyline Views | Furnished | Vacant,PREMIUM,"Sunrise Bay, EMAAR Beachfront, Dubai Harbour, Dubai",7100000,71164305442.0,77792d3e-61d6-48cd-8332-60b5507a431b
ARABIAN-IR-01BR-SL,Apartment,VERIFIED,1,2,737,NOT NEGOTIABLE| DISTRESS DEAL | HOT SALE| MUST SEE,PREMIUM,"Arabian, Canal Residence, Dubai Sports City, Dubai",580000,71146718693.0,379cc066-a6d1-45cd-986b-036f9d4ba440
PS-042510,Apartment,VERIFIED,2,2,1041,High ROI | Best Investment | Resale,PREMIUM,"Creek Beach Lotus, Creek Beach, Dubai Creek Harbour (The Lagoons), Dubai",2000000,71407288221.0,ef120118-b683-4dcb-83fd-278a5ffa433c
PB-S-1678,Villa,VERIFIED,5,6,4790,Bespoke Upgraded V3 | Picadilly Green | Private Pool,PREMIUM,"Picadilly Green, DAMAC Hills, Dubai",8395000,6585226830.0,0083f83e-29e8-4e70-aa36-6aa092e8fa83
RAN220144,Villa,VERIFIED,3,3,2292,Exclusive | Fully Upgraded | 3E,PREMIUM,"Al Reem 1, Al Reem, Arabian Ranches, Dubai",3700000,6914801200.0,637f9282-32dd-4362-9471-10fec0eae79b
VIS.3MASP,Villa,UNVERIFIED,3,5,"2,422",END VILLA IN MASAAR 3BR|BEHIND BIG MOSQUE SHARJAH,PREMIUM,"Sequoia, Masaar, Tilal City, Sharjah",Ask,,a8b823d9-c5fc-435f-9a01-65457e8befcd
ES-12592,Villa,VERIFIED,5,4,5308,Single Row | Park Backing | Type 5,PREMIUM,"Saheel, Arabian Ranches, Dubai",8299995,6599277000.0,14b9ff0a-d6cf-49ad-8d2f-1538d2a2775d
VIS.4THPH,Townhouse,UNVERIFIED,4,6,"2,710",PAY A VILLA ON E611 ROAD WITHOUT BANK FOR 6 YRS Pp,PREMIUM,"Barashi, Al Badie, Sharjah",Ask,,a8b823d9-c5fc-435f-9a01-65457e8befcd
JVCS-SI-LAVIE-2BR,Apartment,UNVERIFIED,2,3,"1,399",Luxury Waterfront Community | Splendid Views,PREMIUM,"La Vie, Jumeirah Beach Residence, Dubai",7000000,71289425762.0,b282697c-2dc0-401d-9d59-4786497baebf
JVCS-ROBIN-NEVA-2BR-SI,Apartment,UNVERIFIED,2,3,"1,023",Pay 1% Monthly|PostHandover PaymentPlan| NewLaunch,PREMIUM,"Neva Residences, Jumeirah Village Circle, Dubai",1248588,1537575417.0,b282697c-2dc0-401d-9d59-4786497baebf
JVCS-ROBIN-BEVERLY-STD-SI,Apartment,UNVERIFIED,Studio,1,399,Payment Plan | 20% Booking | Premium Quality,PREMIUM,"Beverly Boulevard, Arjan, Dubai",599000,2020598799.0,b282697c-2dc0-401d-9d59-4786497baebf
VIS.3BHYN,Townhouse,UNVERIFIED,3,4,"2,056",3BR TH In front of el badi palace and tilal city,PREMIUM,"Hayyan, Sharjah",Ask,,a8b823d9-c5fc-435f-9a01-65457e8befcd
VIS.D1BP,Apartment,UNVERIFIED,1,2,646,Near to %Arabica Coffee and AUS | installment 6yrs,PREMIUM,"Al Mamsha, Muwaileh, Sharjah",Ask,,a8b823d9-c5fc-435f-9a01-65457e8befcd
vis-1bpne,Apartment,UNVERIFIED,1,2,684,NO TAX-NO BANK-TAKE 1BHK WITH 6YRS PAYMENT PLAN 1%,PREMIUM,"Al Mamsha, Muwaileh, Sharjah",Ask,,a8b823d9-c5fc-435f-9a01-65457e8befcd
VIS.HY4P,Villa,UNVERIFIED,4,6,"2,566",VILLA OVER 6YRS PAYMENT PLAN WITHOUT BANK|FREEHOLD,PREMIUM,"Hayyan, Sharjah",Ask,,a8b823d9-c5fc-435f-9a01-65457e8befcd
TREO-S-20426,Villa,VERIFIED,5,5,3383,Reduced Price | Lowest in Market | Type6,PREMIUM,"Casa, Arabian Ranches 2, Dubai",4500000,6589995960.0,e37b8262-b9ac-401c-a7af-ef84d7a7adf9
CB-S-004415,Villa,VERIFIED,6,6,7000,Luxuriously Furnished | VOT | Upgraded,PREMIUM,"Signature Villas Frond B, Signature Villas, Palm Jumeirah, Dubai",45000000,,efa5add3-0aca-4ecd-b0af-21c924641854
5pillars-3751378,Townhouse,VERIFIED,2,4,1870,Resell | On Green Patch | 2 Year Post Handover,PREMIUM,"The Pulse Villas, The Pulse, Dubai South (Dubai World Central), Dubai",1500000,69357164790.0,6fcade28-7484-4509-98bf-09319ce43a1c
BHM-S-106115,Apartment,VERIFIED,3,4,2102,Exclusive | Fully upgraded | Vacant on transfer,PREMIUM,"South Ridge 1, South Ridge, Downtown Dubai, Dubai",5150000,7119812200.0,024a1088-2e30-4ca2-a338-242d84e93d91
axc-3962698,Apartment,VERIFIED,1,1,808,Luxury | High End Finishing | Ready To Move,PREMIUM,"Reehan 8, Reehan, Old Town, Dubai",1850000,7118737000.0,b7f79847-8466-45e0-9fa7-2e063c679da6
L-205758,Villa,VERIFIED,4,5,5500,Upgraded | 4 Bedrooms | Quite Location,PREMIUM,"Entertainment Foyer, Mediterranean Clusters, Jumeirah Islands, Dubai",12249999,6586881000.0,b1f4fa7e-785c-4ab9-ae51-7cf86fc8dea5
BHM-S-148997,Apartment,VERIFIED,1,1,709,Fully Furnished | Rented | Lake View | Exclusive,PREMIUM,"Lakeside Residence, Lake Almas West, Jumeirah Lake Towers, Dubai",850000,7127318700.0,368ac316-0d18-4381-b9f4-3f33b9af6d28
PF-AS-86888,Apartment,VERIFIED,2,2,1143,Luxurious 2BR | Furnished | Seaview | Vacant,PREMIUM,"Beach Vista, EMAAR Beachfront, Dubai Harbour, Dubai",3950000,71156994757.0,3614014d-9b2c-448d-951e-fe5613468ffe
L-212065,Townhouse,VERIFIED,3,4,1994,Vacant on Transfer | Single Row | Type A,PREMIUM,"Arabella Townhouses 2, Arabella Townhouses, Mudon, Dubai",2750000,65277169543.0,8333822b-5abf-4f10-8e19-6918759fee84
RL2833,Villa,VERIFIED,3,3,1559,Modern Villa I Near to the Pool I Re-Sale,PREMIUM,"Raya, Arabian Ranches 3, Dubai",2550000,69443772066.0,0eb3a03c-bb24-4bbc-9b38-1c860c9dc8c7
JVCS-ROBIN-WWPH-1BR-SI,Apartment,UNVERIFIED,1,2,716,Low Floor | Modern Urban Living | Fully Furnished,PREMIUM,"Westwood Grande, Jumeirah Village Circle, Dubai",827735,303484394.0,b282697c-2dc0-401d-9d59-4786497baebf
RL3066,Apartment,VERIFIED,1,1,818,Prime location | Fully Furnished | Brand New,PREMIUM,"Rahaal 1, Madinat Jumeirah Living, Umm Suqeim, Dubai",2150000,71225115640.0,a7eddf5d-16b9-44e3-9cfd-ed695a0f1c71
L-184541,Villa,VERIFIED,4,4,4099,10k Plot | Cul-De-Sac | Vacant On Transfer,PREMIUM,"Meadows 1, Meadows, Dubai",9500000,6512967700.0,c373d153-1338-4de6-87c5-202ae09750eb
CB-S-004622,Apartment,VERIFIED,1,1,806,AL Barsha Murad Tower High Floor 1 BR City View,PREMIUM,"Al Murad Tower, Al Barsha 1, Al Barsha, Dubai",1000000,7113151454.0,5521e2ae-d91f-4d6e-bcfe-a11e3399cecc
